company_id,city,source,name,credit_code,address,lng_wgs84,lat_wgs84,coord_source,coord_quality,business_scope,driver_num,vehicle_num,snapshot
,宁波,nb_company,,,,,,,missing,,26.0,22.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,18.0,18.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,0.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,9.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,22.0,18.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,37.0,34.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,3.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,16.0,14.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,15.0,15.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,4.0,2026-09-02
